symbol,change_pct,category
360ONE,0.53,neutral
3MINDIA,-0.17,neutral
ABB,-0.64,neutral
ACC,-1.57,neutral
ACMESOLAR,-2.09,neutral
AIAENG,-1.87,neutral
APLAPOLLO,-0.35,neutral
AUBANK,1.05,neutral
AWL,-1.57,neutral
AADHARHFC,-0.34,neutral
AARTIIND,-0.33,neutral
AAVAS,-0.11,neutral
ABBOTINDIA,-0.95,neutral
ACE,-0.86,neutral
ADANIENSOL,-1.06,neutral
ADANIENT,-1.01,neutral
ADANIGREEN,0.29,neutral
ADANIPORTS,-0.62,neutral
ADANIPOWER,-0.74,neutral
ATGL,-1.16,neutral
ABCAPITAL,0.12,neutral
ABFRL,-1.2,neutral
ABLBL,-0.95,neutral
ABREL,-1.89,neutral
ABSLAMC,1.23,neutral
AEGISLOG,-0.67,neutral
AEGISVOPAK,-2.79,neutral
AFCONS,-1.32,neutral
AFFLE,-1.62,neutral
AJANTPHARM,-0.61,neutral
AKUMS,-1.45,neutral
AKZOINDIA,-0.03,neutral
APLLTD,-1.8,neutral
ALKEM,-0.33,neutral
ALKYLAMINE,-2.45,neutral
ALOKINDS,-1.39,neutral
ARE&M,-5.51,down_5_10
AMBER,1.15,neutral
AMBUJACEM,-1.55,neutral
ANANDRATHI,-1.01,neutral
ANANTRAJ,-2.69,neutral
ANGELONE,-1.05,neutral
APARINDS,-0.57,neutral
APOLLOHOSP,0.43,neutral
APOLLOTYRE,-2.11,neutral
APTUS,-2.36,neutral
ASAHIINDIA,-0.68,neutral
ASHOKLEY,2.26,neutral
ASIANPAINT,0.75,neutral
ASTERDM,0.41,neutral
ASTRAZEN,-2.69,neutral
ASTRAL,-0.03,neutral
ATHERENERG,1.33,neutral
ATUL,-0.53,neutral
AUROPHARMA,0.99,neutral
AIIL,-1.05,neutral
DMART,-1.02,neutral
AXISBANK,-0.54,neutral
BASF,-2.09,neutral
BEML,-1.54,neutral
BLS,-1.46,neutral
BSE,-1.07,neutral
BAJAJ-AUTO,-0.3,neutral
BAJFINANCE,3.11,up_3_5
BAJAJFINSV,0.5,neutral
BAJAJHLDNG,-0.64,neutral
BAJAJHFL,-0.79,neutral
BALKRISIND,-1.43,neutral
BALRAMCHIN,-0.16,neutral
BANDHANBNK,0.76,neutral
BANKBARODA,-0.46,neutral
BANKINDIA,-1.11,neutral
MAHABANK,-0.98,neutral
BATAINDIA,-2.34,neutral
BAYERCROP,1.48,neutral
BERGEPAINT,0.49,neutral
BDL,-0.86,neutral
BEL,1.45,neutral
BHARATFORG,3.0,up_3_5
BHEL,-0.02,neutral
BPCL,-2.55,neutral
BHARTIARTL,0.12,neutral
BHARTIHEXA,-0.44,neutral
BIKAJI,-1.83,neutral
BIOCON,-0.04,neutral
BSOFT,-6.71,down_5_10
BLUEDART,-0.04,neutral
BLUEJET,-0.17,neutral
BLUESTARCO,0.6,neutral
BBTC,-2.22,neutral
BOSCHLTD,-0.21,neutral
FIRSTCRY,-2.76,neutral
BRIGADE,-0.74,neutral
BRITANNIA,1.38,neutral
MAPMYINDIA,0.78,neutral
CCL,-1.97,neutral
CESC,-1.21,neutral
CGPOWER,-0.07,neutral
CRISIL,-0.65,neutral
CAMPUS,-0.56,neutral
CANFINHOME,-1.16,neutral
CANBK,-0.48,neutral
CAPLIPOINT,-0.57,neutral
CGCL,0.95,neutral
CARBORUNIV,-1.05,neutral
CASTROLIND,-0.09,neutral
CEATLTD,-1.91,neutral
CENTRALBK,-1.01,neutral
CDSL,-1.93,neutral
CENTURYPLY,-0.11,neutral
CERA,-0.48,neutral
CHALET,-0.18,neutral
CHAMBLFERT,-1.17,neutral
CHENNPETRO,-3.11,down_3_5
CHOICEIN,-1.26,neutral
CHOLAHLDNG,-0.85,neutral
CHOLAFIN,0.51,neutral
CIPLA,-1.47,neutral
CUB,-1.48,neutral
CLEAN,-1.3,neutral
COALINDIA,-0.97,neutral
COCHINSHIP,-0.88,neutral
COFORGE,-6.5,down_5_10
COHANCE,-1.27,neutral
COLPAL,-1.59,neutral
CAMS,-2.24,neutral
CONCORDBIO,-1.28,neutral
CONCOR,-1.61,neutral
COROMANDEL,-0.33,neutral
CRAFTSMAN,-1.79,neutral
CREDITACC,-0.35,neutral
CROMPTON,-0.62,neutral
CUMMINSIND,1.51,neutral
CYIENT,-4.23,down_3_5
DCMSHRIRAM,-1.26,neutral
DLF,-3.01,down_3_5
DOMS,-1.96,neutral
DABUR,-0.54,neutral
DALBHARAT,-0.18,neutral
DATAPATTNS,-1.74,neutral
DEEPAKFERT,-1.64,neutral
DEEPAKNTR,-0.93,neutral
DELHIVERY,0.01,neutral
DEVYANI,-1.2,neutral
DIVISLAB,-3.16,down_3_5
DIXON,-0.98,neutral
AGARWALEYE,0.32,neutral
LALPATHLAB,-0.59,neutral
DRREDDY,0.36,neutral
EIDPARRY,-1.56,neutral
EIHOTEL,-1.85,neutral
EICHERMOT,2.21,neutral
ELECON,-2.33,neutral
ELGIEQUIP,2.96,neutral
EMAMILTD,-1.11,neutral
EMCURE,-2.72,neutral
ENDURANCE,-1.9,neutral
ENGINERSIN,-1.83,neutral
ERIS,2.8,neutral
ESCORTS,-1.6,neutral
ETERNAL,-0.9,neutral
EXIDEIND,-0.89,neutral
NYKAA,0.94,neutral
FEDERALBNK,-1.17,neutral
FACT,-0.96,neutral
FINCABLES,0.07,neutral
FINPIPE,5.41,up_5_10
FSL,-4.05,down_3_5
FIVESTAR,1.86,neutral
FORCEMOT,-4.36,down_3_5
FORTIS,1.06,neutral
GAIL,0.15,neutral
GVT&D,-1.34,neutral
GMRAIRPORT,-0.5,neutral
GRSE,0.51,neutral
GICRE,-0.1,neutral
GILLETTE,-0.58,neutral
GLAND,-2.8,neutral
GLAXO,-1.14,neutral
GLENMARK,0.96,neutral
MEDANTA,0.21,neutral
GODIGIT,-0.39,neutral
GPIL,2.78,neutral
GODFRYPHLP,-0.47,neutral
GODREJAGRO,7.05,up_5_10
GODREJCP,-0.36,neutral
GODREJIND,-0.47,neutral
GODREJPROP,-1.64,neutral
GRANULES,-1.55,neutral
GRAPHITE,0.48,neutral
GRASIM,-0.24,neutral
GRAVITA,-1.18,neutral
GESHIP,-0.64,neutral
FLUOROCHEM,-3.0,neutral
GUJGASLTD,-1.12,neutral
GMDCLTD,-0.46,neutral
GSPL,-1.45,neutral
HEG,0.56,neutral
HBLENGINE,0.59,neutral
HCLTECH,-4.87,down_3_5
HDFCAMC,0.31,neutral
HDFCBANK,-0.7,neutral
HDFCLIFE,0.23,neutral
HFCL,-0.04,neutral
HAPPSTMNDS,-3.02,down_3_5
HAVELLS,1.21,neutral
HEROMOTOCO,0.89,neutral
HEXT,-5.1,down_5_10
HSCL,-0.67,neutral
HINDALCO,-0.16,neutral
HAL,0.63,neutral
HINDCOPPER,3.48,up_3_5
HINDPETRO,-2.04,neutral
HINDUNILVR,-2.16,neutral
HINDZINC,-0.77,neutral
POWERINDIA,-0.13,neutral
HOMEFIRST,0.87,neutral
HONASA,2.5,neutral
HONAUT,-1.1,neutral
HUDCO,4.5,up_3_5
HYUNDAI,-0.5,neutral
ICICIBANK,1.7,neutral
ICICIGI,-0.62,neutral
ICICIPRULI,-0.44,neutral
IDBI,-1.08,neutral
IDFCFIRSTB,-0.5,neutral
IFCI,-0.32,neutral
IIFL,-0.49,neutral
INOXINDIA,-1.67,neutral
IRB,0.07,neutral
IRCON,-1.25,neutral
ITCHOTELS,-2.23,neutral
ITC,-0.25,neutral
ITI,0.03,neutral
INDGN,-0.5,neutral
INDIACEM,-1.42,neutral
INDIAMART,-1.91,neutral
INDIANB,-1.85,neutral
IEX,-0.98,neutral
INDHOTEL,0.63,neutral
IOC,-1.76,neutral
IOB,-0.71,neutral
IRCTC,-1.0,neutral
IRFC,-0.7,neutral
IREDA,-1.14,neutral
IGL,-3.81,down_3_5
INDUSTOWER,1.49,neutral
INDUSINDBK,-0.25,neutral
NAUKRI,-1.91,neutral
INFY,-5.84,down_5_10
INOXWIND,-1.0,neutral
INTELLECT,-4.73,down_3_5
INDIGO,-0.62,neutral
IGIL,-0.2,neutral
IKS,-4.77,down_3_5
IPCALAB,2.81,neutral
JBCHEPHARM,0.81,neutral
JKCEMENT,-0.95,neutral
JBMA,-2.23,neutral
JKTYRE,-3.66,down_3_5
JMFINANCIL,2.11,neutral
JSWCEMENT,0.94,neutral
JSWENERGY,-0.59,neutral
JSWINFRA,0.53,neutral
JSWSTEEL,-0.1,neutral
JPPOWER,-0.33,neutral
J&KBANK,-1.42,neutral
JINDALSAW,-2.49,neutral
JSL,-0.03,neutral
JINDALSTEL,1.08,neutral
JIOFIN,-1.02,neutral
JUBLFOOD,-1.14,neutral
JUBLINGREA,-1.45,neutral
JUBLPHARMA,0.57,neutral
JWL,-3.4,down_3_5
JYOTHYLAB,-1.8,neutral
JYOTICNC,-1.24,neutral
KPRMILL,-1.06,neutral
KEI,-0.32,neutral
KPITTECH,-7.08,down_5_10
KSB,-1.38,neutral
KAJARIACER,-0.14,neutral
KPIL,-3.05,down_3_5
KALYANKJIL,1.3,neutral
KARURVYSYA,-0.05,neutral
KAYNES,-1.64,neutral
KEC,-1.49,neutral
KFINTECH,-3.67,down_3_5
KIRLOSBROS,-1.4,neutral
KIRLOSENG,0.94,neutral
KOTAKBANK,-0.77,neutral
KIMS,2.05,neutral
LTF,1.3,neutral
LTTS,-3.49,down_3_5
LICHSGFIN,-1.61,neutral
LTFOODS,1.64,neutral
LTIM,-5.51,down_5_10
LT,0.37,neutral
LATENTVIEW,-4.31,down_3_5
LAURUSLABS,0.49,neutral
THELEELA,-1.19,neutral
LEMONTREE,-2.19,neutral
LICI,0.65,neutral
LINDEINDIA,-0.72,neutral
LLOYDSME,0.25,neutral
LODHA,-0.92,neutral
LUPIN,0.09,neutral
MMTC,-0.82,neutral
MRF,-0.35,neutral
MGL,-2.29,neutral
MAHSCOOTER,-2.56,neutral
MAHSEAMLES,0.07,neutral
M&MFIN,-0.89,neutral
M&M,-2.23,neutral
MANAPPURAM,2.02,neutral
MRPL,-1.34,neutral
MANKIND,-0.38,neutral
MARICO,0.03,neutral
MARUTI,-0.56,neutral
MFSL,4.58,up_3_5
MAXHEALTH,0.73,neutral
MAZDOCK,-0.65,neutral
METROPOLIS,-0.58,neutral
MINDACORP,-0.51,neutral
MSUMI,-0.21,neutral
MOTILALOFS,-0.74,neutral
MPHASIS,-4.8,down_3_5
MCX,2.91,neutral
MUTHOOTFIN,3.4,up_3_5
NATCOPHARM,-1.29,neutral
NBCC,-1.16,neutral
NCC,-0.61,neutral
NHPC,-1.39,neutral
NLCINDIA,1.11,neutral
NMDC,-0.84,neutral
NSLNISP,-1.5,neutral
NTPCGREEN,0.1,neutral
NTPC,-0.05,neutral
NH,0.02,neutral
NATIONALUM,0.54,neutral
NAVA,-0.53,neutral
NAVINFLUOR,2.41,neutral
NESTLEIND,0.02,neutral
NETWEB,1.55,neutral
NEULANDLAB,-1.74,neutral
NEWGEN,-4.91,down_3_5
NAM-INDIA,1.6,neutral
NIVABUPA,-0.64,neutral
NUVAMA,-1.03,neutral
NUVOCO,-2.86,neutral
OBEROIRLTY,-0.68,neutral
ONGC,0.64,neutral
OIL,-0.92,neutral
OLAELEC,-1.43,neutral
OLECTRA,-1.92,neutral
PAYTM,-0.97,neutral
ONESOURCE,1.65,neutral
OFSS,-6.28,down_5_10
POLICYBZR,-0.06,neutral
PCBL,-1.32,neutral
PGEL,0.96,neutral
PIIND,-1.79,neutral
PNBHOUSING,-0.24,neutral
PTCIL,1.83,neutral
PVRINOX,-2.46,neutral
PAGEIND,-1.48,neutral
PATANJALI,0.27,neutral
PERSISTENT,-4.75,down_3_5
PETRONET,-2.22,neutral
PFIZER,-1.47,neutral
PHOENIXLTD,-0.28,neutral
PIDILITIND,1.17,neutral
PPLPHARMA,-0.64,neutral
POLYMED,-5.12,down_5_10
POLYCAB,-0.59,neutral
POONAWALLA,-3.4,down_3_5
PFC,-1.27,neutral
POWERGRID,-0.19,neutral
PRAJIND,0.12,neutral
PREMIERENE,-1.18,neutral
PRESTIGE,-1.55,neutral
PGHH,-1.57,neutral
PNB,-1.59,neutral
RRKABEL,-0.56,neutral
RBLBANK,2.66,neutral
RECLTD,-0.92,neutral
RHIM,-0.73,neutral
RITES,-1.55,neutral
RADICO,0.58,neutral
RVNL,-0.9,neutral
RAILTEL,-0.93,neutral
RAINBOW,-0.35,neutral
RKFORGE,0.47,neutral
RCF,-1.07,neutral
REDINGTON,-1.41,neutral
RELIANCE,-1.35,neutral
RELINFRA,-4.56,down_3_5
RPOWER,-0.9,neutral
SBFC,0.75,neutral
SBICARD,0.51,neutral
SBILIFE,-0.21,neutral
SJVN,2.07,neutral
SRF,-3.65,down_3_5
SAGILITY,-3.18,down_3_5
SAILIFE,-1.97,neutral
SAMMAANCAP,-1.06,neutral
MOTHERSON,1.97,neutral
SAPPHIRE,-1.67,neutral
SARDAEN,-0.71,neutral
SAREGAMA,-2.94,neutral
SCHAEFFLER,-0.22,neutral
SCHNEIDER,-0.74,neutral
SCI,2.46,neutral
SHREECEM,-1.73,neutral
SHRIRAMFIN,2.46,neutral
SHYAMMETL,-0.99,neutral
ENRIN,2.45,neutral
SIEMENS,-0.1,neutral
SIGNATURE,-0.07,neutral
SOBHA,-1.17,neutral
SOLARINDS,-0.4,neutral
SONACOMS,-0.97,neutral
SONATSOFTW,-8.35,down_5_10
STARHEALTH,0.04,neutral
SBIN,0.8,neutral
SAIL,-1.09,neutral
SUMICHEM,-2.81,neutral
SUNPHARMA,0.22,neutral
SUNTV,-1.43,neutral
