symbol,sector,change_pct,category
360ONE,Financial Services,-0.64,neutral
3MINDIA,Diversified,2.79,neutral
ABB,Capital Goods,1.86,neutral
ACC,Construction Materials,-0.3,neutral
ACMESOLAR,Power,0.65,neutral
AIAENG,Capital Goods,0.14,neutral
APLAPOLLO,Capital Goods,-1.27,neutral
AUBANK,Financial Services,1.52,neutral
AWL,Fast Moving Consumer Goods,1.16,neutral
AADHARHFC,Financial Services,-0.99,neutral
AARTIIND,Chemicals,1.98,neutral
AAVAS,Financial Services,0.75,neutral
ABBOTINDIA,Healthcare,-0.64,neutral
ACE,Capital Goods,1.43,neutral
ADANIENSOL,Power,1.56,neutral
ADANIENT,Metals & Mining,2.25,neutral
ADANIGREEN,Power,4.29,up_3_5
ADANIPORTS,Services,1.39,neutral
ADANIPOWER,Power,2.05,neutral
ATGL,Oil Gas & Consumable Fuels,1.76,neutral
ABCAPITAL,Financial Services,2.63,neutral
ABFRL,Consumer Services,-1.79,neutral
ABLBL,Consumer Services,-1.52,neutral
ABREL,Forest Materials,-0.06,neutral
ABSLAMC,Financial Services,0.9,neutral
AEGISLOG,Oil Gas & Consumable Fuels,0.44,neutral
AEGISVOPAK,Oil Gas & Consumable Fuels,-3.41,down_3_5
AFCONS,Construction,-1.79,neutral
AFFLE,Information Technology,1.32,neutral
AJANTPHARM,Healthcare,0.68,neutral
AKUMS,Healthcare,5.73,up_5_10
AKZOINDIA,Consumer Durables,2.4,neutral
APLLTD,Healthcare,-0.01,neutral
ALKEM,Healthcare,1.44,neutral
ALKYLAMINE,Chemicals,0.53,neutral
ALOKINDS,Textiles,-0.66,neutral
ARE&M,Automobile and Auto Components,-0.64,neutral
AMBER,Consumer Durables,0.47,neutral
AMBUJACEM,Construction Materials,1.01,neutral
ANANDRATHI,Financial Services,0.36,neutral
ANANTRAJ,Realty,1.99,neutral
ANGELONE,Financial Services,-4.65,down_3_5
APARINDS,Capital Goods,0.14,neutral
APOLLOHOSP,Healthcare,1.14,neutral
APOLLOTYRE,Automobile and Auto Components,-2.12,neutral
APTUS,Financial Services,-1.56,neutral
ASAHIINDIA,Automobile and Auto Components,-2.16,neutral
ASHOKLEY,Capital Goods,0.6,neutral
ASIANPAINT,Consumer Durables,1.3,neutral
ASTERDM,Healthcare,3.46,up_3_5
ASTRAZEN,Healthcare,-0.17,neutral
ASTRAL,Capital Goods,2.71,neutral
ATHERENERG,Automobile and Auto Components,0.1,neutral
ATUL,Chemicals,-1.31,neutral
AUROPHARMA,Healthcare,3.4,up_3_5
AIIL,Financial Services,2.89,neutral
DMART,Consumer Services,-0.73,neutral
AXISBANK,Financial Services,1.95,neutral
BASF,Chemicals,-0.55,neutral
BEML,Capital Goods,-0.91,neutral
BLS,Consumer Services,5.35,up_5_10
BSE,Financial Services,-7.3,down_5_10
BAJAJ-AUTO,Automobile and Auto Components,-0.64,neutral
BAJFINANCE,Financial Services,-1.17,neutral
BAJAJFINSV,Financial Services,1.37,neutral
BAJAJHLDNG,Financial Services,2.32,neutral
BAJAJHFL,Financial Services,-0.52,neutral
BALKRISIND,Automobile and Auto Components,-1.38,neutral
BALRAMCHIN,Fast Moving Consumer Goods,-0.43,neutral
BANDHANBNK,Financial Services,1.51,neutral
BANKBARODA,Financial Services,1.77,neutral
BANKINDIA,Financial Services,2.36,neutral
MAHABANK,Financial Services,0.12,neutral
BATAINDIA,Consumer Durables,-2.75,neutral
BAYERCROP,Chemicals,-2.32,neutral
BERGEPAINT,Consumer Durables,0.09,neutral
BDL,Capital Goods,0.81,neutral
BEL,Capital Goods,0.56,neutral
BHARATFORG,Automobile and Auto Components,-0.66,neutral
BHEL,Capital Goods,2.64,neutral
BPCL,Oil Gas & Consumable Fuels,0.07,neutral
BHARTIARTL,Telecommunication,1.23,neutral
BHARTIHEXA,Telecommunication,0.66,neutral
BIKAJI,Fast Moving Consumer Goods,-0.89,neutral
BIOCON,Healthcare,0.64,neutral
BSOFT,Information Technology,-2.14,neutral
BLUEDART,Services,0.4,neutral
BLUEJET,Healthcare,-9.99,down_5_10
BLUESTARCO,Consumer Durables,-1.09,neutral
BBTC,Fast Moving Consumer Goods,0.56,neutral
BOSCHLTD,Automobile and Auto Components,-0.59,neutral
FIRSTCRY,Consumer Services,-11.16,down_10_15
BRIGADE,Realty,-1.99,neutral
BRITANNIA,Fast Moving Consumer Goods,2.1,neutral
MAPMYINDIA,Information Technology,-6.6,down_5_10
CCL,Fast Moving Consumer Goods,3.19,up_3_5
CESC,Power,2.75,neutral
CGPOWER,Capital Goods,1.26,neutral
CRISIL,Financial Services,3.26,up_3_5
CAMPUS,Consumer Durables,-0.95,neutral
CANFINHOME,Financial Services,2.21,neutral
CANBK,Financial Services,2.87,neutral
CAPLIPOINT,Healthcare,-0.86,neutral
CGCL,Financial Services,-1.22,neutral
CARBORUNIV,Capital Goods,-0.65,neutral
CASTROLIND,Oil Gas & Consumable Fuels,0.59,neutral
CEATLTD,Automobile and Auto Components,-2.55,neutral
CENTRALBK,Financial Services,1.0,neutral
CDSL,Financial Services,1.38,neutral
CENTURYPLY,Consumer Durables,0.05,neutral
CERA,Consumer Durables,-0.43,neutral
CHALET,Consumer Services,0.47,neutral
CHAMBLFERT,Chemicals,-1.44,neutral
CHENNPETRO,Oil Gas & Consumable Fuels,1.13,neutral
CHOICEIN,Financial Services,1.32,neutral
CHOLAHLDNG,Financial Services,1.55,neutral
CHOLAFIN,Financial Services,0.32,neutral
CIPLA,Healthcare,1.87,neutral
CUB,Financial Services,-2.89,neutral
CLEAN,Chemicals,-1.5,neutral
COALINDIA,Oil Gas & Consumable Fuels,3.31,up_3_5
COCHINSHIP,Capital Goods,-0.23,neutral
COFORGE,Information Technology,2.25,neutral
COHANCE,Healthcare,-2.85,neutral
COLPAL,Fast Moving Consumer Goods,-0.17,neutral
CAMS,Financial Services,2.23,neutral
CONCORDBIO,Healthcare,-1.74,neutral
CONCOR,Services,1.09,neutral
COROMANDEL,Chemicals,0.35,neutral
CRAFTSMAN,Automobile and Auto Components,0.1,neutral
CREDITACC,Financial Services,-1.28,neutral
CROMPTON,Consumer Durables,1.92,neutral
CUMMINSIND,Capital Goods,2.55,neutral
CYIENT,Information Technology,-0.47,neutral
DCMSHRIRAM,Diversified,0.75,neutral
DLF,Realty,2.78,neutral
DOMS,Fast Moving Consumer Goods,0.11,neutral
DABUR,Fast Moving Consumer Goods,0.35,neutral
DALBHARAT,Construction Materials,-0.19,neutral
DATAPATTNS,Capital Goods,2.15,neutral
DEEPAKFERT,Chemicals,-0.67,neutral
DEEPAKNTR,Chemicals,-1.16,neutral
DELHIVERY,Services,-0.58,neutral
DEVYANI,Consumer Services,-2.27,neutral
DIVISLAB,Healthcare,-0.31,neutral
DIXON,Consumer Durables,2.93,neutral
AGARWALEYE,Healthcare,-0.24,neutral
LALPATHLAB,Healthcare,1.58,neutral
DRREDDY,Healthcare,0.1,neutral
EIDPARRY,Fast Moving Consumer Goods,-0.82,neutral
EIHOTEL,Consumer Services,0.02,neutral
EICHERMOT,Automobile and Auto Components,-0.68,neutral
ELECON,Capital Goods,0.06,neutral
ELGIEQUIP,Capital Goods,-1.54,neutral
EMAMILTD,Fast Moving Consumer Goods,-0.31,neutral
EMCURE,Healthcare,-1.23,neutral
ENDURANCE,Automobile and Auto Components,0.17,neutral
ENGINERSIN,Construction,12.37,up_10_15
ERIS,Healthcare,-3.54,down_3_5
ESCORTS,Capital Goods,-1.33,neutral
ETERNAL,Consumer Services,0.49,neutral
EXIDEIND,Automobile and Auto Components,1.2,neutral
NYKAA,Consumer Services,1.57,neutral
FEDERALBNK,Financial Services,0.24,neutral
FACT,Chemicals,0.77,neutral
FINCABLES,Capital Goods,-0.78,neutral
FINPIPE,Capital Goods,0.11,neutral
FSL,Services,-2.52,neutral
FIVESTAR,Financial Services,0.25,neutral
FORCEMOT,Automobile and Auto Components,3.12,up_3_5
FORTIS,Healthcare,-0.11,neutral
GAIL,Oil Gas & Consumable Fuels,1.94,neutral
GVT&D,Capital Goods,3.3,up_3_5
GMRAIRPORT,Services,6.9,up_5_10
GRSE,Capital Goods,-0.09,neutral
GICRE,Financial Services,-1.24,neutral
GILLETTE,Fast Moving Consumer Goods,-0.8,neutral
GLAND,Healthcare,1.54,neutral
GLAXO,Healthcare,0.11,neutral
GLENMARK,Healthcare,1.65,neutral
MEDANTA,Healthcare,0.53,neutral
GODIGIT,Financial Services,2.98,neutral
GPIL,Capital Goods,3.58,up_3_5
GODFRYPHLP,Fast Moving Consumer Goods,-3.23,down_3_5
GODREJAGRO,Fast Moving Consumer Goods,-2.0,neutral
